code;name;country;division_code;first_color;second_color
24016751;Jadran Smokvica;Croatia;24000276;#E2F6F7;#A5A9A7
1502710;El Álamo;Spain;67023616;#189E53;#E4E3E3
14064661;Independiente (Lobería);Argentina;14037263;#F75261;#D2121D
121208;Wiesbaden;Germany;23;#D01D25;#FAF9F9
1396;Stabæk;Norway;1300397;#F1D9AA;#F1EAD7
24026443;Nosteria;Croatia;24000273;#DDA9A9;#B0D0E4
1002;FC Eindhoven;Netherlands;30;#5D9DD3;#A7CAEB
457;Nea Salamina;Cyprus;692430;#F4A8A6;#F55857
98035330;Pajde Möhlin;Switzerland;98005773;#F2E7DC;#F0A396
2326;Bennekom;Netherlands;37043753;#DB0D26;#E8E7E7
313250;União ABC;Brazil;19102111;#A39D58;#A0952C
23109929;Chiangrai City;Thailand;23388435;#DF9A55;#E56B58
14028695;Germinal (Rawson);Argentina;14037261;#1CA459;#ECF3EF
301184;Democrata GV;Brazil;19102111;#EAEAEA;#A1A0A0
5100153;Bromley;United Kingdom;109201;#A8A192;#A8936D
1689;Alcoyano;Spain;67023615;#D6D8DA;#DFDFDF
14064780;Newell's (Laguna Larga);Argentina;14037263;#FB2323;#2C2C2D
135453;Al-Arabi (UAE);United Arab Emirates;7880028;#215E69;#52689C
85060443;Le Puy Foot 43;France;18;#94A2AB;#B8CED6
72000112;Houston;United States;40;#FA9F52;#141C27
302142;SBE;Brazil;107191;#DAE2EF;#B8C5D9
248;Patro Eisden;Belgium;8154824;#EEEEE7;#E2E2E2
421;Deportivo Cali;Colombia;5260948;#A9D6C7;#0F9566
2391;Alverca;Portugal;55065661;#A49B5D;#F1EEF1
19009037;Atlético Tubarão;Brazil;19127222;#649AE8;#E3E3E3
87002787;Santa Tecla;El Salvador;87001116;#FDE318;#EFEFEF
35004284;Heimstetten;Germany;91107111;#A00F18;#D3999C
791051;Boulevard Blazers;Bermuda;82001154;#939066;#F2EF58
658345;Vinjani;Croatia;24000274;#F8A7A5;#A5EEFC
87040254;Jocoro;El Salvador;87001116;#082359;#F7ED10
4203033;Algeciras;Spain;72;#CFA194;#E1D1A9
5724409;Buochs;Switzerland;5724965;#A09FA2;#606065
658299;Medjimurje;Croatia;129646;#656956;#655D1D
58148224;Urozhay;Russia;130490;#ECCF9E;#E1AD61
135433;Ras Al-Khaimah;United Arab Emirates;23159079;#DF9D9F;#D66668
19223667;Poconé;Brazil;19102111;#99ABE1;#6558A6
67291343;At. Porcuna;Spain;67023618;#4FA4EA;#F0F1F1
19338175;Industrial;Bolivia;19166141;#549D5B;#2E7331
20501372;Oakville Blue Devils;Canada;20500261;#1514A1;#20196F
5103828;Woodbridge;United Kingdom;30007232;#E3E3E3;#B0AFAF
40038102;Odisha;India;1;#2A2A5A;#F92E30
1597;St. Mirren;United Kingdom;45;#9E9EA0;#D8D9DD
14031195;Atl. Policial;Argentina;14037261;#0434AB;#204DA5
1481;Gil Vicente;Portugal;60;#075BA7;#ED555A
12019347;Ben Guerdane;Tunisia;12019164;#5C5614;#21200D
67128073;San Roque;Spain;67246444;#F1AA9C;#F1DCAA
5604963;FC Dornbirn 1913;Austria;136544;#EDA3AA;#E1B0B6
85005405;TA Rennes;France;50046769;#EACFAF;#F2EFEA
926867;SønderjyskE;Denmark;6;#DEEDF9;#AED0EA
4212406;Sanluqueño;Spain;72;#EEEDEC;#A4A7A6
67291347;At. Paso;Spain;67023621;#028403;#F7F7F7
613;Blackpool;United Kingdom;13;#E3E3E3;#E2D8CE
3101432;Ñuñorco;Argentina;14037263;#F2F2F2;#9A9D9D
2224;Taranto;Italy;1400407;#143055;#AFB7C4
136476;Titograd;Montenegro;5745020;#9FA6D0;#FBFBFB
72021818;Brantford;Canada;1900171;#996367;#A89D9F
7920361;Al-Adalah;Saudi Arabia;7920263;#E8E1EA;#DEDDE0
129872;Imotski;Croatia;24000274;#E5E5EB;#E3E3E3
67070379;San Fernando;Spain;72;#D2C9B3;#E4E0D7
313902;Operário VG;Brazil;19102111;#F6989C;#E6D0D0
67065946;La Virgen del Camino;Spain;67023617;#EAECE8;#D3D3D4
50057288;US Perros-Louannec;France;20;#E2E2E2;#ADAFAF
5103643;Eastbourne Boro;United Kingdom;5123055;#ED111F;#FE3647
67174026;C.F. El Castillo;Spain;67023622;#A39868;#6D5221
609;Birmingham;United Kingdom;12;#969CAC;#B0B6C6
232;KV Mechelen;Belgium;1;#EFD9A5;#EBE6D1
26031742;Alki;Cyprus;692431;#9095B2;#1F2D61
23002927;Al-Qaisumah;Saudi Arabia;7920264;#D8191E;#9C151A
454840;Keçiörengücü;Turkey;463479;#A05DA5;#892F90
67243414;Silla;Spain;67023615;#EC920F;#DFDFDF
14089826;Dep. Achirense;Argentina;14037263;#E2E5E3;#D9DCDA
107289;Galeos Kagoshima;Japan;115424;#A0ACD6;#D4D6EB
116192;Makedonija GP;North Macedonia;8401070;#F3ED14;#D2A1A2
311086;OPE;Brazil;107191;#A0A0A0;#E6E6E7
332;PON;Brazil;107191;#999899;#6D6C6C
4212115;Orihuela;Spain;71;#2B54A2;#2D5FCD
67016738;Cabecense;Spain;67246444;#8B2724;#761E1B
6600105;Couvin-Mariembourg;Belgium;18097863;#9ED4FC;#1B91FE
14046698;Libertad (BB);Argentina;14037263;#D8D8EA;#9FA1CE
129865;Stupnik;Croatia;24000258;#0D6BAF;#E4E3DE
313317;Dorense;Brazil;19102111;#F3A09A;#ED6A5E
43076679;Colorno;Italy;43064524;#9F9529;#A2A297
831037;Pordenone;Italy;33;#135C2F;#90CEA8
129866;Trnje;Croatia;129759;#DD9E64;#EED5A4
50045943;GDR Guipavas;France;20;#9A9DEA;#6366D9
671;Leeds;United Kingdom;12;#9D985D;#63645B
4212425;Bezana;Spain;67023612;#D2CAA9;#EFEEE7
656;Gillingham;United Kingdom;13;#DDE1E8;#E7E6E6
135439;Al-Wasl;United Arab Emirates;7880000;#DEDE56;#9FA258
8700385;Kleve;Germany;91109041;#E7595F;#F62A31
43204869;Campobasso;Italy;1400405;#2B1F60;#ED1221
16010535;SV Feldbach;Austria;16036177;#E8E5E6;#171516
719;Stevenage;United Kingdom;14;#E2A199;#D05D6B
36136195;Volos;Greece;129650;#D81516;#D1D8E5
137897;Baden;Switzerland;5724965;#E2E1E1;#141213
91200411;FC Brandenburg;Germany;8700660;#DF1526;#F53349
178;Berchem;Belgium;18097862;#F2EF0A;#9F9EA1
2068;US Avranches;France;18;#1468B1;#5E9BD9
677;Luton;United Kingdom;12;#9BA4AF;#D7D9DC
70076210;Bayburt ÖI Spor;Turkey;463486;#FAF413;#070808
5280160;12 de Octubre;Paraguay;79010962;#D4E4E8;#A8D1D8
2096;Málaga;Spain;68;#D3A00D;#084FA3
7880209;Al-Hamriya;United Arab Emirates;7880028;#741328;#8C3348
810130;A. Baleares;Spain;69;#587294;#E5E2DC
19166112;Real Desportivo (RO);Brazil;19127222;#9C1718;#E3E3E3
14046672;Independiente (Chivilcoy);Argentina;14037261;#EC1026;#EEE9EA
502;Esbjerg fB;Denmark;6;#0560A6;#2589CE
494164;Kaspii Aktau;Kazakhstan;59010820;#F1EF1B;#949B71
137920;Fribourg;Switzerland;98005770;#080808;#F0F0F0
35021807;Baumberg;Germany;91109041;#A2A4D4;#6669B7
19343525;Pacajus;Brazil;19102111;#1EA458;#54CE8D
729457;Pedras Rubras;Portugal;55065659;#0555A7;#FCF84D
19273689;Timon (PI);Brazil;19102111;#9B9815;#656217
724;Swansea;United Kingdom;12;#F8F8F8;#2B2723
37066095;DHSC;Netherlands;862765;#FE5C15;#FEEB16
52077969;Yellow Boys;Luxembourg;5340022;#E2E2E4;#111112
5512556;Sud América;Uruguay;5512771;#FB8E2B;#714C2C
24016724;Croatia Gabrile;Croatia;24000276;#1E0F62;#E91C1D
2048;Rodez Aveyron Football;France;17;#AF0A2C;#CC2A55
15083326;Gold Coast Utd (NPL);Australia;15041771;#F1DF23;#EEE556
102493;Chacarita Jrs;Argentina;102422;#E25B63;#5D5A5B
15021614;Werribee City;Australia;15020175;#E6DB56;#678AA4
2452;Caçadores das Taipas;Portugal;83141246;#FAFAFA;#171614
2194;Palermo;Italy;1400408;#E5DDDF;#282A28
453682;Inegölspor;Turkey;463485;#CBA9AC;#A75E65
137942;Kreuzlingen;Switzerland;98008693;#5CAF53;#EBE9EA
1193;FC Hiroshima;Japan;102428;#A690AF;#755B9B
485430;Keslä;Azerbaijan;59006943;#E85268;#DD2F54
98010102;Veyrier Sports;Switzerland;98005769;#55A856;#9DD668
8626287;MC Oujda;Morocco;12019395;#A4D1A5;#CEE2CE
121174;Cloppenburg;Germany;8700660;#59595A;#2A2A2A
14093702;Soc. Lastenia;Argentina;14037263;#9CA12A;#565821
154;LASK;Austria;136543;#EBEAEB;#E4E4E4
20035173;Mont-Royal Outremont;Canada;20035150;#1E2F6C;#A8A19D
43076736;Isola Capo Rizzuto;Italy;43064521;#D06855;#DDA599
1283;Larne;United Kingdom;130023;#D52124;#F25054
791050;PHC Zebras;Bermuda;82001154;#695B25;#E6E4DE
70080983;Afyonspor;Turkey;463485;#8E6BA4;#A68DB5
1014;Fortuna Sittard;Netherlands;29;#5D6262;#E6E7E7
37043236;SteDoCo;Netherlands;37059992;#E1546A;#A6626B
5312710;Sevastopol;Ukraine;71088573;#9FE8F6;#F5D6A6
2051;US Saint-Malo;France;914522;#0E0E0C;#575859
475411;Paxtakor;Uzbekistan;59135038;#241A92;#F8F817
2340;Excelsior M;Netherlands;37059991;#06286A;#D2242B
19344111;União (PR);Brazil;19102111;#DD2C29;#F8F7F7
952740;Juv. Unida;Argentina;14037262;#E72625;#E8B6B7
20041720;AFC Ann Arbor;United States;20031799;#16294D;#B4E3F8
886;Toulouse FC;France;16;#36264F;#5A4B75
6706354;Amorebieta;Spain;70;#F5A6A1;#97B1D2
19392634;ITZ Sport;Brazil;19102111;#F4F4F4;#0A0B0B
130342;Hatayspor;Turkey;463479;#A92832;#DC515D
129890;Slatina;Croatia;24000267;#2B58E7;#545E9A
54015271;Olimpia Grudziadz;Poland;129559;#F7F4E2;#E3DAAC
1868;Denizlispor;Turkey;130286;#199A51;#999899
914551;Jura-Sud Football;France;914524;#565598;#2A2870
14022190;Sp. Belgrano;Argentina;108509;#E2F4E6;#A9D9B4
5740813;Lovcen;Montenegro;5754888;#FA9AA1;#F45B66
442;Sibenik;Croatia;129646;#EAEFD5;#159FE2
23489763;BJ BSU;China;131126;#F2E5B4;#5D98DF
775166;Renofa;Japan;115424;#F79A5F;#F76F31
714209;Piast;Poland;129558;#E5D3B1;#E3E3E3
1140;Lazio;Italy;32;#8FDDFA;#F6D55B
814593;Arenas de Armilla;Spain;67246445;#EF2C31;#A4A2A5
19145268;Maringá;Brazil;19127222;#96A29D;#0A1710
292;Virton;Belgium;2;#F7131A;#F75D64
85043696;Olympique Marcquois;France;50046773;#4B58A5;#FDE617
1572;Hamilton;United Kingdom;45;#F39AA1;#DB6169
832156;Paternò;Italy;43064540;#EC1222;#1D65AE
856120;EVV;Netherlands;37059993;#169FE3;#9FD9F5
1038;Scheveningen;Netherlands;37059991;#989B99;#DBDBDB
1300241;Hr. Dragovoljac;Croatia;129646;#F4F214;#201B27
673;Leicester;United Kingdom;11;#99AFD4;#D6DFEF
129565;Górnik Leczna;Poland;162504;#0A8E52;#E4E4E4
1687;A. Madrid;Spain;67;#636A96;#9596B2
8711900;Göppingen;Germany;8700002;#F41517;#E4E4E4
13209449;Nogoom;Egypt;13197001;#076FAF;#2791D5
5250434;Deportes Copiapó;Chile;5250793;#D01417;#F65358
2313;Richmond;United States;20047508;#F5314E;#E31B37
301155;Goianésia;Brazil;19102111;#D6DCED;#9FACD4
51062654;Cafessa;Mexico;51066839;#D6181D;#F4F3F3
51071405;Coras Nayarit;Mexico;51066838;#5A5625;#E3E3E4
700206;ACR Messina;Italy;1400408;#CAAB6E;#E7D4A2
1135;Inter;Italy;32;#0621A7;#FAFAFA
67210048;Santa Úrsula;Spain;67023621;#F3D85F;#F6D41F
59030517;Dordoy;Kyrgyzstan;59005735;#AF9462;#E3E3E4
1301340;Carmarthen;United Kingdom;130672;#AB9F5F;#9D9B93
98009995;Plan-les-Ouates;Switzerland;137891;#1662A5;#E8EE54
257;RWDM;Belgium;8154824;#DCD8DA;#545257
5250445;Curicó Unido;Chile;5250792;#EDDFD7;#F2F2F2
91173981;SV Neukirchen;Germany;8700660;#1F5FA0;#A8A9AB
24011358;Sloga Mravince;Croatia;129756;#F4B6B8;#E2E3E3
1588;Peterhead;United Kingdom;47;#9EAACF;#5866AA
77004040;Alianza Universidad;Peru;5290551;#F52932;#E9DC66
85003525;Blanc-Mesnil SF;France;50048444;#9999A9;#201F4D
20031814;Fort Worth;United States;20031798;#294E98;#F9F11C
658356;Darda;Croatia;24000271;#E1ABA4;#E2E2E2
965378;Sp. Patria;Argentina;14037263;#F15C6E;#E50A22
443;Zadar;Croatia;129756;#EBA6A7;#DFD8AB
156;SK Sturm Graz;Austria;136543;#E3E3E3;#656467
18008817;Lierse Kempenzonen;Belgium;8154824;#FCE81D;#090607
94013827;Merthyr;United Kingdom;94048276;#CCCCCC;#B2B2B2
982;PAOK;Greece;129650;#64615D;#A6A3A0
1503270;Acero;Spain;67023615;#E6D4D6;#EAA8AB
84107079;Sintra Football;Portugal;55065661;#D6A1A1;#EAE6E6
1913;D.C. United;United States;40;#F4F3F4;#302928
14057746;Argentinos del Norte;Argentina;14037263;#EAE1E7;#EBECEA
7868750;Hapoel Afula;Israel;7860001;#9EB1DA;#B7C6E8
229;Aalst;Belgium;18097862;#E3E3E3;#9E9E9F
409;Guangzhou;China;130931;#E15A23;#E12617
308236;Brasil de Farroupilha;Brazil;19102111;#1B9F66;#F1575F
450550;Kirklarelispor;Turkey;463485;#62B4A1;#A2D3C9
871;RC Lens;France;17;#F8F524;#A0A2A7
121262;Gama;Brazil;19102111;#94D1AB;#74C695
728;Tottenham;United Kingdom;11;#949DB3;#102865
50046788;SO Merlebach;France;20;#D9242C;#F7525C
14123519;Bragado Club;Argentina;14037263;#E6A39D;#EDE0E1
2345;GVVV;Netherlands;37059991;#92B2D7;#B0C9E8
14037233;Vélez (San Ramón);Argentina;14037261;#6C5F9A;#9389B5
98000382;Lerchenfeld;Switzerland;98005771;#F21B1C;#EB5E61
121205;Pirmasens;Germany;27;#5C6B9E;#A2ACCB
1533;Ural;Russia;130486;#995924;#927250
855;Châteauroux;France;17;#145298;#DC142B
70081535;Somaspor;Turkey;70043164;#A39B9C;#DCDBDC
70081029;Serik Bld.;Turkey;70043162;#125F2D;#1D8E55
21028704;Tuzla City;Bosnia And Herzegovina;8401073;#E7D3A7;#A6CBF7
19222407;GLO;Brazil;107192;#0A090A;#EBECEC
130289;Eyüpspor;Turkey;463486;#EBE007;#695AA5
130550;Neftekhimik;Russia;130487;#25935A;#F9A9A8
84107055;São Martinho;Portugal;55065643;#279658;#A3A89C
8151009;Dikkelvenne;Belgium;18097860;#EAE620;#6C5B6C
5724410;Chur 97;Switzerland;98008693;#D22721;#A8A19F
250;Standard;Belgium;1;#D5CCB2;#CAB497
50046914;SC Toulon;France;18;#F6EE26;#255AAA
98008797;Eschenbach;Switzerland;137891;#939074;#ABA98B
50041758;JA Biarritz;France;20;#192C69;#53659E
55027091;Pêro Pinheiro;Portugal;83141248;#EA604F;#166832
5603779;FC Wacker Innsbruck;Austria;136544;#109859;#242425
301327;Interporto;Brazil;19127222;#E3E3E4;#9C9CAB
3101457;Patronato;Argentina;102421;#E4212B;#0C090B
2046;US Raon-l'Etape;France;50046772;#186BB0;#3488D1
5100192;Maidenhead;United Kingdom;109201;#B90E18;#070707
43066172;Brusaporto;Italy;1400401;#1110ED;#F0EB14
130341;Gaziantep FK;Turkey;130286;#EA989B;#EFECEB
1577;Inverness CT;United Kingdom;46;#9D9C9B;#D7D7D7
917103;Club Franciscain;Martinique;82062798;#5D605F;#272729
43077328;Busalla;Italy;43064529;#2C5392;#282E53
133669;Eastern;Hong Kong;5624449;#F29AA2;#EA5D6B
14158121;9 de Julio (Arequito);Argentina;14037263;#5E906B;#8FAF98
329;SEP;Brazil;102423;#98C8B2;#64AF8D
70078191;Cizre Spor;Turkey;70043163;#36A24F;#E7E6E7
98009955;Rheinfelden;Switzerland;137891;#EF6A66;#E8EAEB
301336;Comercial (SP);Brazil;19102111;#A3A2A2;#E8E8E8
423;Santa Fe;Colombia;5260948;#F99E9F;#EAA9AA
26001627;Othellos;Cyprus;692431;#DFF5E8;#63D192
23084737;UiTM;Malaysia;5624537;#201D57;#FBEF22
35103833;Arm. Ludwigshafen;Germany;8700004;#26211F;#9A9897
77044624;Sport Loreto;Peru;5290553;#D3A5A3;#DFCCD1
1105;Ascoli;Italy;33;#F00A0B;#E8E6DC
1010;FC Utrecht;Netherlands;29;#F21C32;#F8F8F8
1714;Granada;Spain;67;#F69EA2;#FCE3E4
4212313;Marino;Spain;69;#9AAFCF;#D5DDEA
995;Capelle;Netherlands;862765;#608C65;#B1C9B4
51051210;Venados;Mexico;135974;#FEDB28;#191C1D
40035484;Jamshedpur;India;1;#65A3D2;#205897
14256019;Puerto Moreno (Bariloche);Argentina;14037261;#FC6E09;#FD8F2B
814614;Loja;Spain;67023618;#5B99E6;#F3F4F4
24042846;Rudar MS;Croatia;129755;#519D2D;#151A13
23195015;Johor DT;Malaysia;5624536;#63669A;#988EB0
427212;Oakleigh Cannons;Australia;130188;#9ED0DE;#61D2F2
5220188;Sillamäe Kalev;Estonia;47016893;#265A9F;#171411
130366;Rizespor;Turkey;130286;#A3E0DE;#F5EFEB
661682;Jadran Tucepi;Croatia;24000274;#E3E3E3;#9FA2A3
20035153;FC Lanaudière;Canada;20035150;#D7A2B1;#9EB3CA
1641;Triglav;Slovenia;7580000;#E097AA;#C85671
98005650;Perly-Certoux;Switzerland;137891;#A9CEE6;#63A8D1
137912;Stade Nyonnais;Switzerland;98027828;#F4EF20;#AAA65F
108538;Juv. Antoniana;Argentina;14037261;#5E55AB;#D98C51
8604272;AFC Telford;United Kingdom;5123054;#D1D1D1;#AAAAAB
38032696;Puskás Akadémia;Hungary;7520391;#96A2AF;#EDE197
23177028;Trat;Thailand;5624920;#E2585B;#E3E3E3
7582048;Dekani;Slovenia;7580001;#67D5F3;#E9F0F2
3100018;Tigre;Argentina;102422;#D2282E;#DFACB2
840;EA Guingamp;France;17;#F8A3A8;#F3D2D4
14123512;Fernándo Cáceres FC;Argentina;14037263;#A06865;#A49C9A
7446390;Santanyí;Spain;67023620;#E7D6AE;#E3E3E3
130859;Opava;Czech Republic;131287;#FDF81A;#E7E7E8
14057747;Independiente (Río Negro);Argentina;14037263;#ED2A28;#5F59A3
14004603;Alvarado (Mar del Plata);Argentina;102422;#2A4773;#193763
709;Sheff Wed;United Kingdom;12;#669CD9;#95B2D2
5727259;Regensdorf;Switzerland;137891;#5F9FD0;#B3CADC
98010074;FC St. Otmar;Switzerland;137891;#E3E2DD;#AEAC9D
35022193;Garching;Germany;91107111;#999A9A;#E3E3E3
77004056;Los Caimanes;Peru;5290553;#4BA876;#6ECC9E
1301293;Vorskla;Ukraine;5314301;#AEAE9B;#EBEFEE
67090031;El Palo;Spain;67023618;#A3B5CB;#ABACA9
18104897;Stockay-Warfusée;Belgium;18097863;#1D0C0C;#E3E3E2
63;Flamurtari;Albania;8350942;#E1D99D;#F5E826
2407;Marco 09;Portugal;83169225;#F2DEDF;#E6A5A9
43204648;Avezzano;Italy;1400405;#A7CCAF;#549C69
2113020;Tigres do Brasil;Brazil;19102111;#0FA655;#5FD96B
67101277;L'Entregu;Spain;67023611;#EBA7A8;#F30F11
1446;Municipal;Peru;5290551;#A4ACCF;#5E6BA4
106363;SC Austria Lustenau;Austria;136544;#1F1306;#F7F5D2
1281;Glenavon;United Kingdom;130023;#EBEBEB;#9D9DA2
20030379;FA Euro;United States;164023;#1D4873;#315D8E
318903;Monte Azul;Brazil;19102111;#B1C8E8;#99B5DB
129132;FC Honka;Finland;129120;#A3A49A;#616362
135515;Persipura;Indonesia;41004312;#ABADD7;#B8B9D2
5607680;SC Neusiedl/See;Austria;136546;#14A94D;#E3E3E3
2476;Fut. Benfica;Portugal;83141248;#F4240A;#0C0A06
14064621;San Miguel (Monte);Argentina;14037263;#99205C;#F23015
109011;G. Torrelavega;Spain;67023612;#A8D0E1;#F1051C
1185;Sakai FC;Japan;102428;#AEADD0;#DADAEC
301107;Santos (AP);Brazil;19127222;#626062;#242022
1921;Nacional;Uruguay;5512770;#063092;#1E4AAD
2401;Vila Real;Portugal;55065659;#E6322E;#EEEEEF
20029727;Cal FC;United States;981781;#E0322A;#24150D
1558;East Fife;United Kingdom;47;#E6DE1B;#A7A35B
733653;Cesarense;Portugal;83141250;#F1EFEE;#979797
646;Doncaster;United Kingdom;13;#A49A66;#AFAB96
14057773;Escuela Presidente Roca;Argentina;14037263;#F3F3F3;#9F9D9D
308940;Carajás;Brazil;19102111;#E3E3E3;#9D9C9B
1231;Racing FC Luxembourg;Luxembourg;5340000;#E5F6FC;#A3E0F7
67020167;Atarfe;Spain;67246444;#95D4AF;#6BCA96
98042421;Muri-Gümligen;Switzerland;137891;#2C3698;#5A66CB
43388688;Anconitana;Italy;43064533;#E9391F;#F7F7F7
288;Union SG;Belgium;2;#E3E49E;#EEE568
7983730;Virtus Volla;Italy;43064522;#5A6D94;#A9B2C7
1978;Blagnac FC;France;50048443;#EA081F;#FD2A4B
308628;Novo Hamburgo;Brazil;19102111;#1DA4E3;#9EDAF5
67276817;San Juan A.D.;Spain;67023626;#F2282B;#F35352
14008993;Dep. Maipú;Argentina;108509;#EA101E;#0A0A0B
951327;Huracán (TA);Argentina;14037263;#FA9FA1;#FB6C6D
678;Macclesfield;United Kingdom;14;#1A246D;#4C5A9C
1858;Servette FC;Switzerland;137889;#AF5869;#8D1E34
653173;GOSK KG;Croatia;24000274;#E6E0A2;#D6A69D
7004292;Baniyas;United Arab Emirates;7880000;#A5E3F3;#DBE8ED
24043106;Obres Sv. Ilija;Croatia;24000262;#60629F;#E0A09D
626;Carlisle;United Kingdom;14;#5A96DA;#2A66AC
98010079;Trimbach;Switzerland;137891;#DA222B;#121514
814968;Guadalajara;Spain;67023627;#96735F;#ECECF2
851677;Westlandia;Netherlands;37059993;#1E9B5F;#E2E7E5
814907;Ebro;Spain;71;#E8E8F9;#2527CF
337;SPO;Brazil;102423;#E5E5E5;#5C5C5D
98005370;Pratteln;Switzerland;137891;#A59B1D;#A9A9A6
43599674;Ponte San Pietro;Italy;1400401;#0B6BB6;#2C8EDD
129828;Granicar Zupanja;Croatia;129757;#1C65DC;#5E92E2
951332;Academia Chacras;Argentina;14037263;#DADCED;#5C63AD
72014006;Seattle;United States;40;#6BAE51;#F1F1F1
880375;Bayreuth;Germany;91107111;#636212;#9B9917
98000309;La Sarraz-Eclépens;Switzerland;98005770;#A39B9D;#E6E5E6
7446375;Mancha Real;Spain;67023618;#9CAE9A;#AFCBB0
34014497;Keriolets de Pluvigner;France;20;#E60E1A;#F9F9F9
18104741;Mandel United;Belgium;18097860;#DCDDDC;#ABACAE
1684;Marbella;Spain;72;#93CFF1;#4A74AA
20046409;Birmingham (USA);United States;20033732;#A79262;#09090A
91156892;Türkspor Augsburg;Germany;91109040;#E59BA4;#DC5868
129880;Val;Croatia;24000274;#68A9DA;#ED9E9B
98000956;Stäfa;Switzerland;137891;#AAAAAB;#6D6D6E
43006436;Virtus Verona;Italy;43127173;#A4AACC;#DE99A8
35019021;Haltern;Germany;35010927;#5F6061;#9B9B9C
5710867;Gyeongnam;South Korea;136407;#591C14;#19140F
6600032;Roeselare;Belgium;2;#A9A9AA;#D0D0D1
1940;TNS;United Kingdom;130672;#9CCEAC;#B2DDC7
105180;Montreal Impact;Canada;40;#070708;#DFE1E3
67270073;F.E. Gramenet;Spain;67101195;#A9D3ED;#E3E3E3
281;Wetteren;Belgium;18097864;#0D8F57;#F2212A
14031540;Leonardo Murialdo;Argentina;14037263;#E06553;#E3E3E3
857222;HHC;Netherlands;37059991;#EB9718;#9C9DA0
301338;Paulista;Brazil;19102111;#FD1017;#F5F3F3
14064652;Argentino (Monte Maíz);Argentina;14037263;#DFF1F9;#32AAE2
879643;Köln;Germany;35010926;#F52C31;#F8F8F8
57110237;Sepsi OSK;Romania;7540024;#FE2655;#FE0429
8162331;MDA Chasselay;France;914524;#5E5F23;#A59A2C
822;TPS;Finland;129131;#E1E1E1;#191919
14064761;Pampero (ARG);Argentina;14037263;#131314;#D7D7D7
8156522;Pepingen-Halle;Belgium;18097862;#165EA6;#F1EB19
1300125;Shakhter Soligorsk;Belarus;7483354;#D8A0A4;#DCDFDF
105612;Delémont;Switzerland;5724965;#F5EC0C;#ABA51D
676;Liverpool;United Kingdom;11;#076656;#9C0E15
283;Torhout;Belgium;18097864;#5E9A5E;#92AB95
14028740;Jorge Newbery (Patagones);Argentina;14037263;#169BDC;#DEDEDE
14255954;Sp. La Consulta;Argentina;14037261;#D71013;#0C0C0C
85047443;JA Drancy;France;19;#1819F7;#0E1A9D
22070141;Tsarsko selo;Bulgaria;7500000;#F25D5D;#F4A098
70078650;Kirsehir Bld.;Turkey;463486;#93D4B1;#71CC9B
701;QPR;United Kingdom;12;#DFE6F5;#9FB1D8
1895;Shakhtar;Ukraine;5314301;#F69C58;#A1A1A3
104750;FOR;Brazil;102423;#ADCDEC;#94B6D7
91149271;Schonnebeck;Germany;91109041;#A7C7A9;#91B692
80001406;Aserri;Costa Rica;1301432;#F01719;#626466
14046676;Círculo Deportivo;Argentina;108509;#EB2822;#E5E4E5
301212;TFC;Brazil;107192;#A2A2A3;#E9E9E9
2418;Alcains;Portugal;83141262;#10A3ED;#FBF816
1502;FC Arges;Romania;150913;#6B1491;#892DB2
98000391;Arbon;Switzerland;137891;#E9DD9E;#EDD462
3100019;Temperley;Argentina;102422;#A4E5F8;#5FE0FC
67173952;Talavera;Spain;72;#9E9E9C;#666461
19184583;Paragominas;Brazil;19102111;#95A55C;#A8D519
47045688;Shkupi;North Macedonia;8401070;#97ABF6;#D9E1F9
98009946;Brunnen;Switzerland;98005772;#9AAACE;#546EA9
1142;AlbinoLeffe;Italy;43127172;#DBE8F4;#B0CFEF
731;Walsall;United Kingdom;14;#AFA170;#E4E4E4
1099;Milan;Italy;32;#F4252D;#0A0809
5727260;Moutier;Switzerland;98005771;#F2F4F4;#97A1A3
1163;Ravenna;Italy;43127173;#A4A195;#D2D3CF
1351;Mjøndalen;Norway;1300397;#B39D94;#C7B4AD
694366;Ast. Tripolis;Greece;129650;#032F94;#1A4BAC
43066152;Ardor Lazzate;Italy;43064530;#24519F;#98A16A
16001231;FC Pinzgau Saalfelden;Austria;16302525;#135BD1;#0146B9
43076654;Abano;Italy;43064545;#056B34;#060807
24043127;Sesvetski Kraljevac;Croatia;24000278;#F5EDE2;#E3DDD4
1495;Vit. Setúbal;Portugal;60;#E4E416;#61A263
14123522;La Salle Jobson;Argentina;14037263;#11105D;#B0B0CE
3602383;1.FC Bocholt;Germany;91109041;#E3E3E3;#AEACAE
791056;Ireland Rangers;Bermuda;72009462;#969761;#141414
667;Ipswich;United Kingdom;13;#EA93A1;#92ACD3
831121;Savona;Italy;1400400;#A0B2C6;#325F8B
11009767;Kukësi;Albania;8350942;#97A0AE;#AAB5C7
2384;Felgueiras;Portugal;55065659;#620629;#F1F0F1
201664;KRC Harelbeke;Belgium;18097860;#AE9CD4;#C4B8DC
5666338;Dorados;Mexico;135974;#D0A117;#FDE019
879709;Gotha;Germany;8700660;#DD1328;#E4E4E4
6201448;USC Corte;France;20;#606161;#1E211F
5395180;Marquense;Guatemala;87000505;#F5EE16;#F2F1F1
98005738;Seuzach;Switzerland;98008693;#DFDEDE;#A9A8A9
